date,homeTeam,awayTeam,homeScore,awayScore,matchResult
07/11/2022,Vallecano,Real Madrid,3,2,H
08/11/2022,Elche,Girona,1,2,A
08/11/2022,Ath Bilbao,Valladolid,3,0,H
08/11/2022,Osasuna,Barcelona,1,2,A
09/11/2022,Almeria,Getafe,1,0,H
09/11/2022,Sevilla,Sociedad,1,2,A
09/11/2022,Espanol,Villarreal,0,1,A
09/11/2022,Mallorca,Ath Madrid,1,0,H
10/11/2022,Vallecano,Celta,0,0,D
10/11/2022,Valencia,Betis,3,0,H
10/11/2022,Real Madrid,Cadiz,2,1,H
29/12/2022,Girona,Vallecano,2,2,D
29/12/2022,Betis,Ath Bilbao,0,0,D
29/12/2022,Ath Madrid,Elche,2,0,H
30/12/2022,Getafe,Mallorca,2,0,H
30/12/2022,Cadiz,Almeria,1,1,D
30/12/2022,Celta,Sevilla,1,1,D
30/12/2022,Valladolid,Real Madrid,0,2,A
31/12/2022,Barcelona,Espanol,1,1,D
31/12/2022,Sociedad,Osasuna,2,0,H
31/12/2022,Villarreal,Valencia,2,1,H
06/01/2023,Elche,Celta,0,1,A
06/01/2023,Valencia,Cadiz,0,1,A
07/01/2023,Villarreal,Real Madrid,2,1,H
07/01/2023,Mallorca,Valladolid,1,0,H
07/01/2023,Espanol,Girona,2,2,D
08/01/2023,Almeria,Sociedad,0,2,A
08/01/2023,Vallecano,Betis,1,2,A
08/01/2023,Sevilla,Getafe,2,1,H
08/01/2023,Ath Madrid,Barcelona,0,1,A
09/01/2023,Ath Bilbao,Osasuna,0,0,D
13/01/2023,Celta,Villarreal,1,1,D
14/01/2023,Valladolid,Vallecano,0,1,A
14/01/2023,Girona,Sevilla,2,1,H
14/01/2023,Osasuna,Mallorca,1,0,H
14/01/2023,Sociedad,Ath Bilbao,3,1,H
15/01/2023,Getafe,Espanol,1,2,A
15/01/2023,Almeria,Ath Madrid,1,1,D
16/01/2023,Cadiz,Elche,1,1,D
20/01/2023,Mallorca,Celta,1,0,H
21/01/2023,Vallecano,Sociedad,0,2,A
21/01/2023,Espanol,Betis,1,0,H
21/01/2023,Ath Madrid,Valladolid,3,0,H
21/01/2023,Sevilla,Cadiz,1,0,H
22/01/2023,Villarreal,Girona,1,0,H
22/01/2023,Elche,Osasuna,1,1,D
22/01/2023,Barcelona,Getafe,1,0,H
22/01/2023,Ath Bilbao,Real Madrid,0,2,A
23/01/2023,Valencia,Almeria,2,2,D
27/01/2023,Almeria,Espanol,3,1,H
28/01/2023,Cadiz,Mallorca,2,0,H
28/01/2023,Girona,Barcelona,0,1,A
28/01/2023,Sevilla,Elche,3,0,H
28/01/2023,Getafe,Betis,0,1,A
29/01/2023,Valladolid,Valencia,1,0,H
29/01/2023,Osasuna,Ath Madrid,0,1,A
29/01/2023,Celta,Ath Bilbao,1,0,H
29/01/2023,Real Madrid,Sociedad,0,0,D
30/01/2023,Villarreal,Vallecano,0,1,A
01/02/2023,Betis,Barcelona,1,2,A
02/02/2023,Real Madrid,Valencia,2,0,H
03/02/2023,Ath Bilbao,Cadiz,4,1,H
04/02/2023,Espanol,Osasuna,1,1,D
04/02/2023,Elche,Villarreal,3,1,H
04/02/2023,Ath Madrid,Getafe,1,1,D
04/02/2023,Betis,Celta,3,4,A
05/02/2023,Mallorca,Real Madrid,1,0,H
05/02/2023,Girona,Valencia,1,0,H
05/02/2023,Sociedad,Valladolid,0,1,A
05/02/2023,Barcelona,Sevilla,3,0,H
06/02/2023,Vallecano,Almeria,2,0,H
10/02/2023,Cadiz,Girona,2,0,H
11/02/2023,Almeria,Betis,2,3,A
11/02/2023,Sevilla,Mallorca,2,0,H
11/02/2023,Valencia,Ath Bilbao,1,2,A
12/02/2023,Getafe,Vallecano,1,1,D
12/02/2023,Celta,Ath Madrid,0,1,A
12/02/2023,Valladolid,Osasuna,0,0,D
12/02/2023,Villarreal,Barcelona,0,1,A
13/02/2023,Espanol,Sociedad,2,3,A
15/02/2023,Real Madrid,Elche,4,0,H
17/02/2023,Girona,Almeria,6,2,H
18/02/2023,Sociedad,Celta,1,1,D
18/02/2023,Betis,Valladolid,2,1,H
18/02/2023,Mallorca,Villarreal,4,2,H
18/02/2023,Osasuna,Real Madrid,0,2,A
19/02/2023,Elche,Espanol,0,1,A
19/02/2023,Vallecano,Sevilla,1,1,D
19/02/2023,Ath Madrid,Ath Bilbao,1,0,H
19/02/2023,Barcelona,Cadiz,2,0,H
20/02/2023,Getafe,Valencia,1,0,H
24/02/2023,Elche,Betis,2,3,A
25/02/2023,Espanol,Mallorca,2,1,H
25/02/2023,Cadiz,Vallecano,1,0,H
25/02/2023,Real Madrid,Ath Madrid,1,1,D
25/02/2023,Valencia,Sociedad,1,0,H
26/02/2023,Ath Bilbao,Girona,2,3,A
26/02/2023,Celta,Valladolid,3,0,H
26/02/2023,Almeria,Barcelona,1,0,H
26/02/2023,Sevilla,Osasuna,2,3,A
27/02/2023,Villarreal,Getafe,2,1,H
03/03/2023,Sociedad,Cadiz,0,0,D
04/03/2023,Getafe,Girona,3,2,H
04/03/2023,Almeria,Villarreal,0,2,A
04/03/2023,Mallorca,Elche,0,1,A
04/03/2023,Ath Madrid,Sevilla,6,1,H
05/03/2023,Valladolid,Espanol,2,1,H
05/03/2023,Barcelona,Valencia,1,0,H
05/03/2023,Vallecano,Ath Bilbao,0,0,D
05/03/2023,Betis,Real Madrid,0,0,D
06/03/2023,Osasuna,Celta,0,0,D
10/03/2023,Cadiz,Getafe,2,2,D
