date,homeTeam,awayTeam,homeScore,awayScore,matchResult
2026-01-04,Rayo Vallecano,Getafe,,,
2026-01-04,Mallorca,Girona,,,
2026-01-04,Sevilla,Levante,,,
2026-01-11,Ath Bilbao,Real Madrid,,,
2026-01-11,Getafe,Real Sociedad,,,
2026-01-11,Girona,Osasuna,,,
2026-01-11,Villarreal,Alaves,,,
2026-01-11,FC Barcelona,Ath Madrid,,,
2026-01-11,Real Oviedo,Real Betis,,,
2026-01-11,Sevilla,Celta,,,
2026-01-11,Valencia,Elche,,,
2026-01-11,Levante,Espanyol,,,
2026-01-11,Rayo Vallecano,Mallorca,,,
2026-01-18,Real Betis,Villarreal,,,
2026-01-18,Celta,Rayo Vallecano,,,
2026-01-18,Elche,Sevilla,,,
2026-01-18,Espanyol,Girona,,,
2026-01-18,Getafe,Valencia,,,
2026-01-18,Osasuna,Real Oviedo,,,
2026-01-18,Ath Madrid,Alaves,,,
2026-01-18,Mallorca,Ath Bilbao,,,
2026-01-18,Real Sociedad,FC Barcelona,,,
2026-01-18,Real Madrid,Levante,,,
2026-01-25,Alaves,Real Betis,,,
2026-01-25,Ath Madrid,Mallorca,,,
2026-01-25,FC Barcelona,Real Oviedo,,,
2026-01-25,Sevilla,Ath Bilbao,,,
2026-01-25,Real Sociedad,Celta,,,
2026-01-25,Levante,Elche,,,
2026-01-25,Valencia,Espanyol,,,
2026-01-25,Girona,Getafe,,,
2026-01-25,Rayo Vallecano,Osasuna,,,
2026-01-25,Villarreal,Real Madrid,,,
2026-02-01,Ath Bilbao,Real Sociedad,,,
2026-02-01,Real Betis,Valencia,,,
2026-02-01,Mallorca,Sevilla,,,
2026-02-01,Osasuna,Villarreal,,,
2026-02-01,Espanyol,Alaves,,,
2026-02-01,Levante,Ath Madrid,,,
2026-02-01,Elche,FC Barcelona,,,
2026-02-01,Getafe,Celta,,,
2026-02-01,Real Oviedo,Girona,,,
2026-02-01,Real Madrid,Rayo Vallecano,,,
2026-02-08,Alaves,Getafe,,,
2026-02-08,Ath Bilbao,Levante,,,
2026-02-08,Ath Madrid,Real Betis,,,
2026-02-08,FC Barcelona,Mallorca,,,
2026-02-08,Celta,Osasuna,,,
2026-02-08,Real Sociedad,Elche,,,
2026-02-08,Villarreal,Espanyol,,,
2026-02-08,Sevilla,Girona,,,
2026-02-08,Valencia,Real Madrid,,,
2026-02-08,Rayo Vallecano,Real Oviedo,,,
2026-02-15,Elche,Osasuna,,,
2026-02-15,Getafe,Villarreal,,,
2026-02-15,Levante,Valencia,,,
2026-02-15,Real Madrid,Real Sociedad,,,
2026-02-15,Sevilla,Alaves,,,
2026-02-15,Real Oviedo,Ath Bilbao,,,
2026-02-15,Rayo Vallecano,Ath Madrid,,,
2026-02-15,Girona,FC Barcelona,,,
2026-02-15,Mallorca,Real Betis,,,
2026-02-15,Espanyol,Celta,,,
2026-02-22,Alaves,Girona,,,
2026-02-22,Ath Bilbao,Elche,,,
2026-02-22,Ath Madrid,Espanyol,,,
2026-02-22,FC Barcelona,Levante,,,
2026-02-22,Real Betis,Rayo Vallecano,,,
2026-02-22,Celta,Mallorca,,,
2026-02-22,Getafe,Sevilla,,,
2026-02-22,Osasuna,Real Madrid,,,
2026-02-22,Villarreal,Valencia,,,
2026-02-22,Real Sociedad,Real Oviedo,,,
2026-03-01,FC Barcelona,Villarreal,,,
2026-03-01,Real Betis,Sevilla,,,
2026-03-01,Elche,Espanyol,,,
2026-03-01,Mallorca,Real Sociedad,,,
2026-03-01,Levante,Alaves,,,
2026-03-01,Rayo Vallecano,Ath Bilbao,,,
2026-03-01,Real Oviedo,Ath Madrid,,,
2026-03-01,Girona,Celta,,,
2026-03-01,Real Madrid,Getafe,,,
2026-03-01,Valencia,Osasuna,,,
2026-03-08,Ath Bilbao,FC Barcelona,,,
2026-03-08,Ath Madrid,Real Sociedad,,,
2026-03-08,Celta,Real Madrid,,,
2026-03-08,Espanyol,Real Oviedo,,,
2026-03-08,Valencia,Alaves,,,
2026-03-08,Getafe,Real Betis,,,
2026-03-08,Villarreal,Elche,,,
2026-03-08,Levante,Girona,,,
2026-03-08,Osasuna,Mallorca,,,
2026-03-08,Sevilla,Rayo Vallecano,,,
2026-03-15,Alaves,Villarreal,,,
2026-03-15,Ath Madrid,Getafe,,,
2026-03-15,FC Barcelona,Sevilla,,,
2026-03-15,Real Betis,Celta,,,
2026-03-15,Real Oviedo,Valencia,,,
2026-03-15,Girona,Ath Bilbao,,,
2026-03-15,Real Madrid,Elche,,,
2026-03-15,Mallorca,Espanyol,,,
2026-03-15,Rayo Vallecano,Levante,,,
2026-03-15,Real Sociedad,Osasuna,,,
2026-03-22,Ath Bilbao,Real Betis,,,
2026-03-22,FC Barcelona,Rayo Vallecano,,,
2026-03-22,Elche,Mallorca,,,
2026-03-22,Espanyol,Getafe,,,
2026-03-22,Levante,Real Oviedo,,,
2026-03-22,Sevilla,Valencia,,,
2026-03-22,Celta,Alaves,,,
2026-03-22,Real Madrid,Ath Madrid,,,
2026-03-22,Osasuna,Girona,,,
2026-03-22,Villarreal,Real Sociedad,,,
2026-04-05,Alaves,Osasuna,,,
2026-04-05,Ath Madrid,FC Barcelona,,,
2026-04-05,Real Betis,Espanyol,,,
2026-04-05,Girona,Villarreal,,,
2026-04-05,Mallorca,Real Madrid,,,
2026-04-05,Real Oviedo,Sevilla,,,
2026-04-05,Getafe,Ath Bilbao,,,
2026-04-05,Valencia,Celta,,,
2026-04-05,Rayo Vallecano,Elche,,,
2026-04-05,Real Sociedad,Levante,,,
2026-04-12,FC Barcelona,Espanyol,,,
2026-04-12,Celta,Real Oviedo,,,
2026-04-12,Elche,Valencia,,,
2026-04-12,Mallorca,Rayo Vallecano,,,
2026-04-12,Real Sociedad,Alaves,,,
2026-04-12,Sevilla,Ath Madrid,,,
2026-04-12,Osasuna,Real Betis,,,
2026-04-12,Levante,Getafe,,,
2026-04-12,Real Madrid,Girona,,,
2026-04-12,Ath Bilbao,Villarreal,,,
2026-04-19,Alaves,Mallorca,,,
2026-04-19,Real Betis,Real Madrid,,,
2026-04-19,Espanyol,Levante,,,
2026-04-19,Osasuna,Sevilla,,,
2026-04-19,Rayo Vallecano,Real Sociedad,,,
2026-04-19,Ath Madrid,Ath Bilbao,,,
2026-04-19,Getafe,FC Barcelona,,,
2026-04-19,Villarreal,Celta,,,
2026-04-19,Real Oviedo,Elche,,,
