date,homeTeam,awayTeam,homeScore,awayScore,matchResult,homeCode,awayCode,dayCode,target,season,homeGoalsForSum,homeGoalsAgainstSum,awayGoalsForSum,awayGoalsAgainstSum,homeWinRateRolling3,awayWinRateRolling3,homeWinRateRolling5,awayWinRateRolling5,homeWinRateRolling10,awayWinRateRolling10,homeWinRateExpanding,awayWinRateExpanding,homePoints,awayPoints,homeTotalPoints,awayTotalPoints,homeAvgGoalsFor,homeAvgGoalsAgainst,awayAvgGoalsFor,awayAvgGoalsAgainst,homeTotalWins,homeTotalLosses,homeTotalDraws,awayTotalWins,awayTotalLosses,awayTotalDraws
2022-08-27,Rayo Vallecano,Mallorca,0.0,2.0,A,17,12,5,2,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,4,1,1.0,0.0,0.5,1.0,1,0,1,0,1,1
2022-08-27,Almeria,Sevilla,2.0,1.0,H,6,11,5,1,2022,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,1,1,1.0,1.5,1.0,1.5,0,1,1,0,1,1
2022-08-28,Getafe,Villarreal,0.0,0.0,D,8,19,6,0,2022,0.0,3.0,5.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1,1,0,6,0.5,3.0,2.5,0.0,0,2,0,2,0,0
2022-08-28,FC Barcelona,Valladolid,4.0,0.0,H,3,2,6,1,2022,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,4,1,2.0,0.5,0.5,2.0,1,0,1,0,1,1
2022-08-28,Espanyol,Real Madrid,1.0,3.0,A,10,18,6,2,2022,0.0,2.0,6.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0,3,1,6,1.0,2.0,3.0,1.0,0,1,1,2,0,0
2022-08-29,Cadiz,Ath Bilbao,0.0,4.0,A,4,7,0,2,2022,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,4,0.0,1.5,0.5,0.0,0,2,0,1,0,1
2022-08-29,Valencia,Ath Madrid,0.0,1.0,A,5,13,0,2,2022,1.0,0.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,3,3,3,0.5,0.5,1.5,1.0,1,1,0,1,1,0
2022-09-02,Celta,Cadiz,3.0,0.0,H,1,4,4,1,2022,3.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,4,0,1.3333333333333333,2.0,0.0,2.3333333333333335,1,1,1,0,3,0
2022-09-03,Mallorca,Girona,1.0,1.0,D,12,16,5,0,2022,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,4,3,1.0,0.6666666666666666,1.0,1.0,1,1,1,1,2,0
2022-09-03,Real Madrid,Real Betis,2.0,1.0,H,18,9,5,1,2022,0.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,3,0,9,9,3.0,1.0,2.0,0.3333333333333333,3,0,0,3,0,0
